Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<EqualsToPredicate> equalsToPredicateClassModel=ClassModel.builder(EqualsToPredicate.class).enableDiscriminator(true).build();"" is 136.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<IsNumberPredicate> isNumberPredicateClassModel=ClassModel.builder(IsNumberPredicate.class).enableDiscriminator(true).build();"" is 136.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<TestingRunResult> testingRunResultClassModel=ClassModel.builder(TestingRunResult.class).enableDiscriminator(true).build();"" is 133.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<AuthMechanism> authMechanismClassModel=ClassModel.builder(AuthMechanism.class).enableDiscriminator(true).build();"" is 124.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<HardcodedAuthParam> hardcodedAuthParamClassModel=ClassModel.builder(HardcodedAuthParam.class).enableDiscriminator(true).build();"" is 139.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<LoginRequestAuthParam> loginReqAuthParamClassModel=ClassModel.builder(LoginRequestAuthParam.class).enableDiscriminator(true).build();"" is 144.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<TestingEndpoints> testingEndpointsClassModel=ClassModel.builder(TestingEndpoints.class).enableDiscriminator(true).build();"" is 133.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<CustomTestingEndpoints> customTestingEndpointsClassModel=ClassModel.builder(CustomTestingEndpoints.class).enableDiscriminator(true).build();"" is 151.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<CollectionWiseTestingEndpoints> collectionWiseTestingEndpointsClassModel=ClassModel.builder(CollectionWiseTestingEndpoints.class).enableDiscriminator(true).build();"" is 175.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<WorkflowTestingEndpoints> workflowTestingEndpointsClassModel=ClassModel.builder(WorkflowTestingEndpoints.class).enableDiscriminator(true).build();"" is 157.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<WorkflowTestResult> workflowTestResultClassModel=ClassModel.builder(WorkflowTestResult.class).enableDiscriminator(true).build();"" is 139.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<CustomWebhook> CustomWebhookClassModel=ClassModel.builder(CustomWebhook.class).enableDiscriminator(true).build();"" is 124.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<CustomWebhookResult> CustomWebhookResultClassModel=ClassModel.builder(CustomWebhookResult.class).enableDiscriminator(true).build();"" is 142.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<WorkflowTestResult.NodeResult> nodeResultClassModel=ClassModel.builder(WorkflowTestResult.NodeResult.class).enableDiscriminator(true).build();"" is 153.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<TestingRunIssues> testingRunIssuesClassModel=ClassModel.builder(TestingRunIssues.class).enableDiscriminator(true).build();"" is 133.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<TestingIssuesId> testingIssuesIdClassModel=ClassModel.builder(TestingIssuesId.class).enableDiscriminator(true).build();"" is 130.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<TestSourceConfig> testSourceConfigClassModel=ClassModel.builder(TestSourceConfig.class).enableDiscriminator(true).build();"" is 133.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<EndpointLogicalGroup> endpointLogicalGroupClassModel=ClassModel.builder(EndpointLogicalGroup.class).enableDiscriminator(true).build();"" is 145.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<LogicalGroupTestingEndpoint> logicalGroupTestingEndpointClassModel=ClassModel.builder(LogicalGroupTestingEndpoint.class).enableDiscriminator(true).build();"" is 166.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<CustomAuthType> customAuthTypeModel=ClassModel.builder(CustomAuthType.class).enableDiscriminator(true).build();"" is 122.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<ContainsPredicate> containsPredicateClassModel=ClassModel.builder(ContainsPredicate.class).enableDiscriminator(true).build();"" is 136.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<NotBelongsToPredicate> notBelongsToPredicateClassModel=ClassModel.builder(NotBelongsToPredicate.class).enableDiscriminator(true).build();"" is 148.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<BelongsToPredicate> belongsToPredicateClassModel=ClassModel.builder(BelongsToPredicate.class).enableDiscriminator(true).build();"" is 139.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<AktoDataType> AktoDataTypeClassModel=ClassModel.builder(AktoDataType.class).enableDiscriminator(true).build();"" is 121.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<BFLATestInfo> bflaTestInfoClassModel=ClassModel.builder(BFLATestInfo.class).enableDiscriminator(true).build();"" is 121.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<NucleiTestInfo> nucleiTestInfoClassModel=ClassModel.builder(NucleiTestInfo.class).enableDiscriminator(true).build();"" is 127.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<LoginFlowStepsData> loginFlowStepsData=ClassModel.builder(LoginFlowStepsData.class).enableDiscriminator(true).build();"" is 129.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<NormalLoader> normalLoaderClassModel=ClassModel.builder(NormalLoader.class).enableDiscriminator(true).build();"" is 121.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<PostmanUploadLoader> postmanUploadLoaderClassModel=ClassModel.builder(PostmanUploadLoader.class).enableDiscriminator(true).build();"" is 142.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<AktoGptConfig> aktoGptConfigClassModel=ClassModel.builder(AktoGptConfig.class).enableDiscriminator(true).build();"" is 124.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""ClassModel<VulnerableRequestForTemplate> vulnerableRequestForTemplateClassModel=ClassModel.builder(VulnerableRequestForTemplate.class).enableDiscriminator(true).build();"" is 169.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""CodecRegistry pojoCodecRegistry=fromProviders(PojoCodecProvider.builder().register(configClassModel`signupInfoClassModel`apiAuthClassModel`attempResultModel`urlTemplateModel`pendingInviteCodeClassModel`rbacClassModel`kafkaHealthMetricClassModel`singleTypeInfoClassModel`thirdPartyAccessClassModel`credentialClassModel`apiTokenClassModel`apiInfoClassModel`apiInfoKeyClassModel`customFilterClassModel`runtimeFilterClassModel`filterSampleDataClassModel`predicateClassModel`conditionsClassModel`regexPredicateClassModel`startsWithPredicateClassModel`endsWithPredicateClassModel`fieldExistsFilterClassModel`accountSettingsClassModel`responseCodeRuntimeFilterClassModel`cappedListClassModel`equalsToPredicateClassModel`isNumberPredicateClassModel`testingRunClassModel`testingRunResultClassModel`testResultClassModel`authMechanismClassModel`authParamClassModel`hardcodedAuthParamClassModel`loginReqAuthParamClassModel`testingEndpointsClassModel`customTestingEndpointsClassModel`collectionWiseTestingEndpointsClassModel`workflowTestingEndpointsClassModel`workflowTestResultClassModel`cappedSetClassModel`CustomWebhookClassModel`CustomWebhookResultClassModel`nodeResultClassModel`awsResourcesModel`AktoDataTypeClassModel`testingRunIssuesClassModel`testingIssuesIdClassModel`testSourceConfigClassModel`endpointLogicalGroupClassModel`testRolesClassModel`logicalGroupTestingEndpointClassModel`testInfoClassModel`bflaTestInfoClassModel`nucleiTestInfoClassModel`customAuthTypeModel`containsPredicateClassModel`notBelongsToPredicateClassModel`belongsToPredicateClassModel`loginFlowStepsData`loaderClassModel`normalLoaderClassModel`postmanUploadLoaderClassModel`aktoGptConfigClassModel`vulnerableRequestForTemplateClassModel).automatic(true).build());"" is 1735.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""final CodecRegistry customEnumCodecs=CodecRegistries.fromCodecs(new EnumCodec<>(Conditions.Operator.class)`new EnumCodec<>(SingleTypeInfo.SuperType.class)`new EnumCodec<>(Method.class)`new EnumCodec<>(RBAC.Role.class)`new EnumCodec<>(Credential.Type.class)`new EnumCodec<>(ApiToken.Utility.class)`new EnumCodec<>(ApiInfo.AuthType.class)`new EnumCodec<>(ApiInfo.ApiAccessType.class)`new EnumCodec<>(TestResult.TestError.class)`new EnumCodec<>(AuthParam.Location.class)`new EnumCodec<>(TestingEndpoints.Type.class)`new EnumCodec<>(TestingRun.State.class)`new EnumCodec<>(AccountSettings.SetupType.class)`new EnumCodec<>(WorkflowNodeDetails.Type.class)`new EnumCodec<>(SingleTypeInfo.Domain.class)`new EnumCodec<>(CustomWebhook.ActiveStatus.class)`new EnumCodec<>(TestResult.Confidence.class)`new EnumCodec<>(SingleTypeInfo.Position.class)`new EnumCodec<>(TestResult.Confidence.class)`new EnumCodec<>(GlobalEnums.TestRunIssueStatus.class)`new EnumCodec<>(GlobalEnums.TestErrorSource.class)`new EnumCodec<>(GlobalEnums.TestCategory.class)`new EnumCodec<>(GlobalEnums.IssueTags.class)`new EnumCodec<>(GlobalEnums.Severity.class)`new EnumCodec<>(TrafficMetrics.Name.class)`new EnumCodec<>(Loader.Type.class)`new EnumCodec<>(CustomWebhook.WebhookOptions.class)`new EnumCodec<>(GlobalEnums.YamlTemplateSource.class)`new EnumCodec<>(AktoGptConfigState.class));"" is 1351.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""CodecRegistry codecRegistry=fromRegistries(MongoClientSettings.getDefaultCodecRegistry()`pojoCodecRegistry`customEnumCodecs);"" is 125.",52
akto,com.akto,DaoInit,init,Long Statement,"The length of the statement ""MongoClientSettings clientSettings=MongoClientSettings.builder().applyConnectionString(connectionString).codecRegistry(codecRegistry).build();"" is 142.",52
akto,com.akto,MongoBasedTest,beforeClass,Long Statement,"The length of the statement ""ImmutableMongodConfig mongodConfig=ImmutableMongodConfig.builder().version(Version.Main.PRODUCTION).net(new Net(bindIp`27019`false)).build();"" is 141.",26
akto,com.akto,MongoBasedTest,beforeClass,Magic Number,The method contains a magic number: 27019,26
akto,com.akto,TestGraphQLUtils,parseKafkaMessage,Long Statement,"The length of the statement ""return new HttpResponseParams(type`statusCode`status`responseHeaders`payload`requestParams`time`accountId`isPending`source`message`sourceIP);"" is 141.",40
akto,com.akto,InstanceDetails,fetchInstanceDetails,Empty catch clause,The method has an empty catch block.,18
akto,com.akto,ApiRequest,processWithTimeout,Long Statement,"The length of the statement ""clientWithTimeout=new OkHttpClient.Builder().connectTimeout(timeoutObj.getConnectTimeout()`TimeUnit.SECONDS).readTimeout(timeoutObj.getReadTimeout()`TimeUnit.SECONDS).writeTimeout(timeoutObj.getWriteTimeout()`TimeUnit.SECONDS).build();"" is 235.",46
akto,com.akto.dao.traffic_metrics,TrafficMetricsDao,filtersForUpdate,Long Statement,"The length of the statement ""return Filters.and(Filters.eq(ID + TrafficMetrics.Key.NAME`key.getName())`Filters.eq(ID + TrafficMetrics.Key.BUCKET_START_EPOCH`key.getBucketStartEpoch())`Filters.eq(ID + TrafficMetrics.Key.BUCKET_END_EPOCH`key.getBucketEndEpoch())`Filters.eq(ID + TrafficMetrics.Key.IP`key.getIp())`Filters.eq(ID + TrafficMetrics.Key.HOST`key.getHost())`Filters.eq(ID + TrafficMetrics.Key.VXLAN_ID`key.getVxlanID()));"" is 401.",32
akto,com.akto.dao.traffic_metrics,TrafficMetricsDao,createIndicesIfAbsent,Long Statement,"The length of the statement ""clients[0].getDatabase(Context.accountId.get() + """").createCollection(getCollName()`new CreateCollectionOptions().capped(true).maxDocuments(30_000).sizeInBytes(100_000_000));"" is 174.",43
akto,com.akto.dao.traffic_metrics,TrafficMetricsDao,createIndicesIfAbsent,Long Statement,"The length of the statement ""String[] fieldNames={ID + TrafficMetrics.Key.NAME`ID + TrafficMetrics.Key.BUCKET_START_EPOCH`ID + TrafficMetrics.Key.BUCKET_END_EPOCH`ID + TrafficMetrics.Key.IP`ID + TrafficMetrics.Key.HOST`ID + TrafficMetrics.Key.VXLAN_ID};"" is 224.",43
akto,com.akto.dao.traffic_metrics,TrafficMetricsDao,createIndicesIfAbsent,Magic Number,The method contains a magic number: 30_000,43
akto,com.akto.dao.traffic_metrics,TrafficMetricsDao,createIndicesIfAbsent,Magic Number,The method contains a magic number: 100_000_000,43
akto,com.akto.dao.testing,TestingRunResultDao,generateFilter,Long Statement,"The length of the statement ""return Filters.and(Filters.eq(TestingRunResult.TEST_RUN_ID`testRunId)`Filters.eq(TestingRunResult.API_INFO_KEY + ""."" + ApiInfo.ApiInfoKey.API_COLLECTION_ID`apiCollectionId)`Filters.eq(TestingRunResult.API_INFO_KEY + ""."" + ApiInfo.ApiInfoKey.URL`url)`Filters.eq(TestingRunResult.API_INFO_KEY + ""."" + ApiInfo.ApiInfoKey.METHOD`method));"" is 334.",32
akto,com.akto.dao.testing,TestingRunResultDao,fetchLatestTestingRunResult,Long Statement,"The length of the statement ""MongoCursor<TestingRunResult> cursor=instance.getMCollection().find(Filters.eq(TestingRunResult.TEST_RUN_RESULT_SUMMARY_ID`testRunResultSummaryId)).projection(Projections.include(TestingRunResult.TEST_RUN_ID`TestingRunResult.API_INFO_KEY`TestingRunResult.TEST_SUPER_TYPE`TestingRunResult.TEST_SUB_TYPE`TestingRunResult.VULNERABLE`TestingRunResult.CONFIDENCE_PERCENTAGE`TestingRunResult.START_TIMESTAMP`TestingRunResult.END_TIMESTAMP`TestingRunResult.TEST_RUN_RESULT_SUMMARY_ID)).sort(Sorts.descending(""_id"")).limit(10_000).cursor();"" is 532.",41
akto,com.akto.dao.testing,TestingRunResultDao,fetchLatestTestingRunResult,Magic Number,The method contains a magic number: 10_000,41
akto,com.akto.dao.testing,EndpointLogicalGroupDao,createLogicalGroup,Long Statement,"The length of the statement ""EndpointLogicalGroup endpointLogicalGroup=new EndpointLogicalGroup(new ObjectId()`createdTs`createdTs`user`name`testingEndpoint);"" is 129.",28
akto,com.akto.dao.testing,TestRolesDao,createTestRole,Long Statement,"The length of the statement ""this.getLogger().info(""Created test role with name :{}` and logical group id : {}""`roleName`endpointLogicalGroupId.toHexString());"" is 130.",51
akto,com.akto.dao.test_editor.executor,ConfigParser,parse,Complex Method,Cyclomatic complexity of the method is 11,32
akto,com.akto.dao.test_editor.executor,ConfigParser,parse,Long Statement,"The length of the statement ""if (curNode.getNodeType().equalsIgnoreCase(TestEditorEnums.ExecutorOperandTypes.Data.toString()) || curNode.getNodeType().equalsIgnoreCase(TestEditorEnums.ExecutorOperandTypes.Terminal.toString())) {"" is 199.",32
akto,com.akto.dao.test_editor.executor,ConfigParser,parse,Long Statement,"The length of the statement ""ExecutorConfigParserResult configParserResult=new ExecutorConfigParserResult(null`false`""invalid yaml` structure is neither map/list"");"" is 135.",32
akto,com.akto.dao.test_editor.executor,ConfigParser,validate,Complex Conditional,The conditional expression (curNodeType.equalsIgnoreCase(ExecutorOperandTypes.Terminal.toString()) || curNodeType.equalsIgnoreCase(ExecutorOperandTypes.NonTerminal.toString())) && !parentNodeType.equalsIgnoreCase(ExecutorOperandTypes.Req.name()) is complex.,98
akto,com.akto.dao.test_editor.executor,ConfigParser,validate,Complex Conditional,The conditional expression curNodeType.equalsIgnoreCase(ExecutorOperandTypes.Data.toString()) && !(curNodeType.equalsIgnoreCase(ExecutorOperandTypes.Terminal.toString()) || parentNodeType.equalsIgnoreCase(ExecutorOperandTypes.NonTerminal.toString())) is complex.,98
akto,com.akto.dao.test_editor.executor,ConfigParser,validate,Complex Conditional,The conditional expression !((values instanceof String) || (values instanceof Integer) || (values instanceof Boolean)) is complex.,98
akto,com.akto.dao.test_editor.executor,ConfigParser,validate,Complex Conditional,The conditional expression curNodeType.equalsIgnoreCase(ExecutorOperandTypes.Data.toString()) && !((values instanceof String) || (values instanceof Integer) || (values instanceof Boolean)) is complex.,98
akto,com.akto.dao.test_editor.executor,ConfigParser,validate,Complex Method,Cyclomatic complexity of the method is 11,98
akto,com.akto.dao.test_editor.executor,ConfigParser,validate,Long Statement,"The length of the statement ""if (curNodeType.equalsIgnoreCase(ExecutorOperandTypes.Parent.toString()) && !parentNodeType.equalsIgnoreCase(""_ETHER_"")) {"" is 122.",98
akto,com.akto.dao.test_editor.executor,ConfigParser,validate,Long Statement,"The length of the statement ""if (curNodeType.equalsIgnoreCase(ExecutorOperandTypes.Req.toString()) && !parentNodeType.equalsIgnoreCase(ExecutorOperandTypes.Parent.toString())) {"" is 148.",98
akto,com.akto.dao.test_editor.executor,ConfigParser,validate,Long Statement,"The length of the statement ""if ((curNodeType.equalsIgnoreCase(ExecutorOperandTypes.Terminal.toString()) || curNodeType.equalsIgnoreCase(ExecutorOperandTypes.NonTerminal.toString())) && !parentNodeType.equalsIgnoreCase(ExecutorOperandTypes.Req.name())) {"" is 225.",98
akto,com.akto.dao.test_editor.executor,ConfigParser,validate,Long Statement,"The length of the statement ""configParserValidationResult.setErrMsg(""terminal/nonTerminal Executor operand should have executorParentNode as the parent node"");"" is 130.",98
akto,com.akto.dao.test_editor.executor,ConfigParser,validate,Long Statement,"The length of the statement ""if (curNodeType.equalsIgnoreCase(ExecutorOperandTypes.Data.toString()) && !(curNodeType.equalsIgnoreCase(ExecutorOperandTypes.Terminal.toString()) || parentNodeType.equalsIgnoreCase(ExecutorOperandTypes.NonTerminal.toString()))) {"" is 230.",98
akto,com.akto.dao.test_editor.executor,ConfigParser,validate,Long Statement,"The length of the statement ""configParserValidationResult.setErrMsg(""terminalOperand should have terminalExecutorOperand/nonTerminalExecutorOperand as the parent node"");"" is 140.",98
akto,com.akto.dao.test_editor.executor,ConfigParser,validate,Long Statement,"The length of the statement ""if (curNodeType.equalsIgnoreCase(ExecutorOperandTypes.Data.toString()) && !((values instanceof String) || (values instanceof Integer) || (values instanceof Boolean))) {"" is 168.",98
akto,com.akto.dao.test_editor,TestEditorEnums,getOperandValue,Complex Method,Cyclomatic complexity of the method is 17,75
akto,com.akto.dao.test_editor,TestEditorEnums,getOperandType,Complex Method,Cyclomatic complexity of the method is 17,128
akto,com.akto.dao.test_editor,TestEditorEnums,getExecutorOperandType,Complex Method,Cyclomatic complexity of the method is 9,243
akto,com.akto.dao.test_editor,TestConfigYamlParser,parseConfig,Complex Method,Cyclomatic complexity of the method is 14,30
akto,com.akto.dao.test_editor,TestConfigYamlParser,parseConfig,Long Statement,"The length of the statement ""com.akto.dao.test_editor.executor.ConfigParser executorConfigParser=new com.akto.dao.test_editor.executor.ConfigParser();"" is 121.",30
akto,com.akto.dao.test_editor.filter,ConfigParser,validateAndTransform,Complex Conditional,The conditional expression curNode.getNodeType().equalsIgnoreCase(OperandTypes.Context.toString()) && curNode.getOperand().equalsIgnoreCase(ContextOperator.ENDPOINT_IN_TRAFFIC_CONTEXT.toString()) && (isString(values) || isListOfString(values)) is complex.,40
akto,com.akto.dao.test_editor.filter,ConfigParser,validateAndTransform,Complex Method,Cyclomatic complexity of the method is 18,40
akto,com.akto.dao.test_editor.filter,ConfigParser,validateAndTransform,Long Parameter List,The method has 9 parameters. ,40
akto,com.akto.dao.test_editor.filter,ConfigParser,validateAndTransform,Long Statement,"The length of the statement ""ConfigParserValidationResult configParserValidationResult=validateNodeAgainstRules(curNode`parentNode`termNodeExists`collectionNodeExists`concernedProperty`contextProperty);"" is 173.",40
akto,com.akto.dao.test_editor.filter,ConfigParser,validateAndTransform,Long Statement,"The length of the statement ""if (curNode.getNodeType().equalsIgnoreCase(OperandTypes.Data.toString()) || curNode.getNodeType().equalsIgnoreCase(OperandTypes.Extract.toString())) {"" is 150.",40
akto,com.akto.dao.test_editor.filter,ConfigParser,validateAndTransform,Long Statement,"The length of the statement ""if (curNode.getNodeType().equalsIgnoreCase(OperandTypes.Context.toString()) && curNode.getOperand().equalsIgnoreCase(ContextOperator.ENDPOINT_IN_TRAFFIC_CONTEXT.toString()) && (isString(values) || isListOfString(values))) {"" is 223.",40
akto,com.akto.dao.test_editor.filter,ConfigParser,validateAndTransform,Long Statement,"The length of the statement ""FilterNode node=new FilterNode(operand`false`concernedProperty`entry.getValue()`operandType`new ArrayList<>()`subConcernedProperty`bodyOperand`contextProperty);"" is 160.",40
akto,com.akto.dao.test_editor.filter,ConfigParser,validateAndTransform,Long Statement,"The length of the statement ""ConfigParserResult configParserResult=validateAndTransform(filters`node`curNode`termNodeExists`collectionNodeExists`concernedProperty`subConcernedProperty`bodyOperand`contextProperty);"" is 184.",40
akto,com.akto.dao.test_editor.filter,ConfigParser,validateAndTransform,Long Statement,"The length of the statement ""FilterNode node=new FilterNode(operand`false`concernedProperty`entry.getValue()`operandType`new ArrayList<>()`subConcernedProperty`bodyOperand`contextProperty);"" is 160.",40
akto,com.akto.dao.test_editor.filter,ConfigParser,validateAndTransform,Long Statement,"The length of the statement ""ConfigParserResult configParserResult=validateAndTransform(filters`node`curNode`termNodeExists`collectionNodeExists`concernedProperty`subConcernedProperty`bodyOperand`contextProperty);"" is 184.",40
akto,com.akto.dao.test_editor.filter,ConfigParser,validateNodeAgainstRules,Complex Conditional,The conditional expression ((curNodeType.equals(OperandTypes.Data.toString().toLowerCase()) || curNodeType.equals(OperandTypes.Collection.toString().toLowerCase())) && concernedProperty == null && contextProperty == null) is complex.,132
akto,com.akto.dao.test_editor.filter,ConfigParser,validateNodeAgainstRules,Complex Conditional,The conditional expression !(curNodeType.equals(OperandTypes.Data.toString().toLowerCase()) || curNodeType.equals(OperandTypes.Extract.toString().toLowerCase()) || curNodeType.equals(OperandTypes.Context.toString().toLowerCase())) is complex.,132
akto,com.akto.dao.test_editor.filter,ConfigParser,validateNodeAgainstRules,Complex Conditional,The conditional expression (curNodeType.equals(OperandTypes.Data.toString().toLowerCase()) || curNodeType.equals(OperandTypes.Collection.toString().toLowerCase())) && (contextProperty == null && !termNodeExists) is complex.,132
akto,com.akto.dao.test_editor.filter,ConfigParser,validateNodeAgainstRules,Complex Method,Cyclomatic complexity of the method is 17,132
akto,com.akto.dao.test_editor.filter,ConfigParser,validateNodeAgainstRules,Long Parameter List,The method has 6 parameters. ,132
akto,com.akto.dao.test_editor.filter,ConfigParser,validateNodeAgainstRules,Long Statement,"The length of the statement ""if (((curNodeType.equals(OperandTypes.Data.toString().toLowerCase()) || curNodeType.equals(OperandTypes.Collection.toString().toLowerCase())) && concernedProperty == null && contextProperty == null)) {"" is 201.",132
akto,com.akto.dao.test_editor.filter,ConfigParser,validateNodeAgainstRules,Long Statement,"The length of the statement ""if (!(curNodeType.equals(OperandTypes.Data.toString().toLowerCase()) || curNodeType.equals(OperandTypes.Extract.toString().toLowerCase()) || curNodeType.equals(OperandTypes.Context.toString().toLowerCase()))) {"" is 210.",132
akto,com.akto.dao.test_editor.filter,ConfigParser,validateNodeAgainstRules,Long Statement,"The length of the statement ""if (curNodeType.equals(OperandTypes.Data.toString().toLowerCase()) && !this.allowedDataParentNodes.contains(parentNodeType)) {"" is 126.",132
akto,com.akto.dao.test_editor.filter,ConfigParser,validateNodeAgainstRules,Long Statement,"The length of the statement ""if (curNodeType.equals(OperandTypes.Pred.toString().toLowerCase()) && !this.allowedPredParentNodes.contains(parentNodeType)) {"" is 126.",132
akto,com.akto.dao.test_editor.filter,ConfigParser,validateNodeAgainstRules,Long Statement,"The length of the statement ""if (curNodeType.equals(OperandTypes.Term.toString().toLowerCase()) && !this.allowedTermParentNodes.contains(parentNodeType)) {"" is 126.",132
akto,com.akto.dao.test_editor.filter,ConfigParser,validateNodeAgainstRules,Long Statement,"The length of the statement ""if (curNodeType.equals(OperandTypes.Collection.toString().toLowerCase()) && !this.allowedCollectionParentNodes.contains(parentNodeType)) {"" is 138.",132
akto,com.akto.dao.test_editor.filter,ConfigParser,validateNodeAgainstRules,Long Statement,"The length of the statement ""if ((curNodeType.equals(OperandTypes.Data.toString().toLowerCase()) || curNodeType.equals(OperandTypes.Collection.toString().toLowerCase())) && (contextProperty == null && !termNodeExists)) {"" is 191.",132
akto,com.akto.dao.test_editor.filter,ConfigParser,isListOfString,Complex Conditional,The conditional expression !((listValues.get(i) instanceof String) || (listValues.get(i) instanceof Boolean) || (listValues.get(i) instanceof Integer)) is complex.,246
akto,com.akto.dao.test_editor.filter,ConfigParser,isListOfString,Long Statement,"The length of the statement ""if (!((listValues.get(i) instanceof String) || (listValues.get(i) instanceof Boolean) || (listValues.get(i) instanceof Integer))) {"" is 131.",246
akto,com.akto.dao.context,Context,getId,Magic Number,The method contains a magic number: 1000l,12
akto,com.akto.dao.context,Context,now,Magic Number,The method contains a magic number: 1000l,63
akto,com.akto.dao.context,Context,dateFromLotusNotation,Magic Number,The method contains a magic number: 24,68
akto,com.akto.dao.context,Context,dateFromLotusNotation,Magic Number,The method contains a magic number: 60,68
akto,com.akto.dao.context,Context,dateFromLotusNotation,Magic Number,The method contains a magic number: 60,68
akto,com.akto.dao.context,Context,dateFromLotusNotation,Magic Number,The method contains a magic number: 1899,68
akto,com.akto.dao.context,Context,dateFromLotusNotation,Magic Number,The method contains a magic number: 12,68
akto,com.akto.dao.context,Context,dateFromLotusNotation,Magic Number,The method contains a magic number: 30,68
akto,com.akto.util.grpc,ProtoBufUtils,decodeProto,Magic Number,The method contains a magic number: 5,25
akto,com.akto.util.grpc,ProtoBufUtils,decodeProto,Magic Number,The method contains a magic number: 5,25
akto,com.akto.util.grpc,ProtoBufUtils,decodeProto,Magic Number,The method contains a magic number: 5,25
akto,com.akto.util.grpc,ProtoBufUtils,decodeProtoInput,Complex Method,Cyclomatic complexity of the method is 13,48
akto,com.akto.util.grpc,ProtoBufUtils,decodeProtoInput,Magic Number,The method contains a magic number: 30,48
akto,com.akto.util.grpc,ProtoBufUtils,decodeProtoInput,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@d4b7ad1,48
akto,com.akto.util,JSONUtils,flatten,Complex Conditional,The conditional expression prefix != null && !prefix.isEmpty() && (keySet == null || keySet.isEmpty()) is complex.,13
akto,com.akto.util,JSONUtils,flatten,Complex Method,Cyclomatic complexity of the method is 9,13
akto,com.akto.util,JSONUtils,flattenWithDots,Complex Conditional,The conditional expression prefix != null && !prefix.isEmpty() && (keySet == null || keySet.isEmpty()) is complex.,71
akto,com.akto.util,JSONUtils,flattenWithDots,Complex Method,Cyclomatic complexity of the method is 9,71
akto,com.akto.util,JSONUtils,parseIfJsonP,Complex Conditional,"The conditional expression !payload.startsWith(""{"") && !payload.startsWith(""["") && !payload.startsWith(""<"") is complex.",155
akto,com.akto.util,JSONUtils,parseIfJsonP,Magic Number,The method contains a magic number: 5,155
akto,com.akto.util,HttpRequestResponseUtils,convertFormUrlEncodedToJson,Magic Number,The method contains a magic number: 2,68
akto,com.akto.util,CookieTransformer,isKeyPresentInCookie,Magic Number,The method contains a magic number: 2,9
akto,com.akto.util,CookieTransformer,modifyCookie,Magic Number,The method contains a magic number: 2,28
akto,com.akto.util,CookieTransformer,deleteCookie,Magic Number,The method contains a magic number: 2,55
akto,com.akto.util,RecordedLoginFlowUtil,triggerFlow,Long Parameter List,The method has 5 parameters. ,37
